id	std_type	description	lowgrade	highgrade	sCode
389	3d	"The orbits of Earth around the sun and of the moon around Earth, together with the rotation of Earth about an axis between its North and South poles, cause observable patterns. These include day and night; daily changes in the length and direction of shadows; and different positions of the sun, moon, and stars at different times of the day, month, and year."	5	5	S2471124
390	3d	"Similarities and differences in patterns can be used to sort, classify, communicate and analyze simple rates of change for natural phenomena."	5	5	S2471127
391	parent	Earth's Systems	5	5	S2467845
392	child	"Develop a model using an example to describe ways the geosphere, biosphere, hydrosphere, and/or atmosphere interact."	5	5	S2454461
393	3d	Develop a model using an example to describe a scientific principle.	5	5	S2471135
394	3d	"Earth's major systems are the geosphere (solid and molten rock, soil, and sediments), the hydrosphere (water and ice), the atmosphere (air), and the biosphere (living things, including humans). These systems interact in multiple ways to affect Earth's surface materials and processes. The ocean supports a variety of ecosystems and organisms, shapes landforms, and influences climate. Winds and clouds in the atmosphere interact with the landforms to determine patterns of weather."	5	5	S2471140
396	child	Describe and graph the amounts and percentages of water and fresh water in various reservoirs to provide evidence about the distribution of water on Earth.	5	5	S2454462
397	3d	Describe and graph quantities such as area and volume to address scientific questions.	5	5	S2471137
398	3d	"Nearly all of Earth's available water is in the ocean. Most fresh water is in glaciers or underground; only a tiny fraction is in streams, lakes, wetlands, and the atmosphere."	5	5	S2471141
399	3d	Standard units are used to measure and describe physical quantities such as weight and volume.	5	5	S2471144
400	parent	Earth and Human Activity	5	5	S2467846
401	child	Obtain and combine information about ways individual communities use science ideas to protect the Earth's resources and environment.	5	5	S2454463
402	3d	Obtain and combine information from books and/or other reliable media to explain phenomena or solutions to a design problem.	5	5	S2471151
403	3d	"Human activities in agriculture, industry, and everyday life have had major effects on the land, vegetation, streams, ocean, air, and even outer space. But individuals and communities are doing things to help protect Earth's resources and environments."	5	5	S2471153
404	3d	A system can be described in terms of its components and their interactions.	3	5	S2470878
405	3d	Science findings are limited to questions that can be answered with empirical evidence.	5	5	S2471157
406	parent	Engineering Design	3	5	S2467848
407	child	"Define a simple design problem reflecting a need or a want that includes specified criteria for success and constraints on materials, time, or cost."	3	5	S2454468
408	3d	"Define a simple design problem that can be solved through the development of an object, tool, process, or system and includes several criteria for success and constraints on materials, time, or cost."	3	5	S2471165
409	3d	Possible solutions to a problem are limited by available materials and resources (constraints). The success of a designed solution is determined by considering the desired features of a solution (criteria). Different proposals for solutions can be compared on the basis of how well each one meets the specified criteria for success or how well each takes the constraints into account.	3	5	S2471173
410	3d	"People's needs and wants change over time, as do their demands for new and improved technologies."	3	5	S2471179
411	child	Generate and compare multiple possible solutions to a problem based on how well each is likely to meet the criteria and constraints of the problem.	3	5	S2454469
412	3d	Generate and compare multiple solutions to a problem based on how well they meet the criteria and constraints of the design problem.	3	5	S2471169
413	3d	Research on a problem should be carried out before beginning to design a solution. Testing a solution involves investigating how well it performs under a range of likely conditions.	3	5	S2471174
414	3d	"At whatever stage, communicating with peers about proposed solutions is an important part of the design process, and shared ideas can lead to improved designs."	3	5	S2471175
415	3d	"Engineers improve existing technologies or develop new ones to increase their benefits, to decrease known risks, and to meet societal demands."	3	5	S2471038
416	child	Plan and carry out fair tests in which variables are controlled and failure points are considered to identify aspects of a model or prototype that can be improved.	3	5	S2454470
417	3d	"Plan and conduct an investigation collaboratively to produce data to serve as the basis for evidence, using fair tests in which variables are controlled and the number of trials considered."	3	5	S2470789
418	3d	"Tests are often designed to identify failure points or difficulties, which suggest the elements of the design that need to be improved."	3	5	S2471176
419	3d	"Different solutions need to be tested in order to determine which of them best solves the problem, given the criteria and the constraints."	3	5	S2470962
420	parent	Matter and Its Interactions	6	8	S2467870
421	child	Develop models to describe the atomic composition of simple molecules and extended structures.	6	8	S2454471
423	3d	"Substances are made from different types of atoms, which combine with one another in various ways. Atoms form molecules that range in size from two to thousands of atoms."	6	8	S2471206
424	3d	"Solids may be formed from molecules, or they may be extended structures with repeating subunits"	6	8	S2471210
426	child	Analyze and interpret data on the properties of substances before and after the substances interact to determine if a chemical reaction has occurred.	6	8	S2454475
431	3d	Macroscopic patterns are related to the nature of microscopic and atomic-level structure.	6	8	S2471227
432	child	Gather and make sense of information to describe that synthetic materials come from natural resources and impact society.	6	8	S2454472
434	3d	Each pure substance has characteristic physical and chemical properties (for any bulk quantity under given conditions) that can be used to identify it.	6	8	S2471207
439	child	"Develop a model that predicts and describes changes in particle motion, temperature, and state of a pure substance when thermal energy is added or removed."	6	8	S2454473
440	3d	Develop a model to predict and/or describe phenomena.	6	8	S2471190
441	3d	Gases and liquids are made of molecules or inert atoms that are moving about relative to each other.	6	8	S2471208
442	3d	"In a liquid, the molecules are constantly in contact with others; in a gas, they are widely spaced except when they happen to collide. In a solid, atoms are closely spaced and may vibrate in position but do not change relative locations."	6	8	S2471209
443	3d	The changes of state that occur with variations in temperature or pressure can be described and predicted using these models of matter.	6	8	S2471211
444	3d	"The term \'heat\' as used in everyday language refers both to thermal energy (the motion of atoms or molecules within a substance) and the transfer of that thermal energy from one object to another. In science, heat is used only for this second meaning; it refers to the energy transferred due to the temperature difference between two objects."	6	8	S2471215
445	3d	"The temperature of a system is proportional to the average internal kinetic energy and potential energy per atom or molecule (whichever is the appropriate building block for the system's material). The details of that relationship depend on the type of atom or molecule and the interactions among the atoms in the material. Temperature is not a direct measure of a system's total thermal energy. The total thermal energy (sometimes called the total internal energy) of a system depends jointly on the temperature, the total number of atoms in the system, and the state of the material."	6	8	S2471216
447	child	Develop and use a model to describe how the total number of atoms does not change in a chemical reaction and thus mass is conserved.	6	8	S2454476
449	3d	Laws are regularities or mathematical descriptions of natural phenomena.	6	8	S2471200
450	3d	"Substances react chemically in characteristic ways. In a chemical process, the atoms that make up the original substances are regrouped into different molecules, and these new substances have different properties from those of the reactants."	6	8	S2471212
451	3d	"The total number of each type of atom is conserved, and thus the mass does not change."	6	8	S2471213
453	child	"Undertake a design project to construct, test, and modify a device that either releases or absorbs thermal energy by chemical processes.*"	6	8	S2454477
454	3d	"Undertake a design project, engaging in the design cycle, to construct and/or implement a solution that meets specific design criteria and constraints."	6	8	S2471195
455	3d	"Some chemical reactions release energy, others store energy."	6	8	S2471214
456	3d	"A solution needs to be tested, and then modified on the basis of the test results, in order to improve it."	6	8	S2471217
460	parent	Motion and Stability: Forces and Interactions	6	8	S2467871
461	child	Apply Newton's Third Law to design a solution to a problem involving the motion of two colliding objects.	6	8	S2454478
462	3d	"Apply scientific ideas or principles to design an object, tool, process or system."	6	8	S2471249
463	3d	"For any pair of interacting objects, the force exerted by the first object on the second object is equal in strength to the force that the second object exerts on the first, but in the opposite direction (Newton's third law)."	6	8	S2471255
466	child	Plan an investigation to provide evidence that the change in an object's motion depends on the sum of the forces on the object and the mass of the object.	6	8	S2454479
469	3d	"The motion of an object is determined by the sum of the forces acting on it; if the total force on the object is not zero, its motion will change. The greater the mass of the object, the greater the force needed to achieve the same change in motion. For any given object, a larger force causes a larger change in motion."	6	8	S2471256
470	3d	"All positions of objects and the directions of forces and motions must be described in an arbitrarily chosen reference frame and arbitrarily chosen units of size. In order to share information with other people, these choices must also be shared."	6	8	S2471257
471	3d	Explanations of stability and change in natural or designed systems can be constructed by examining the changes over time and forces at different scales.	6	8	S2471267
472	child	Ask questions about data to determine the factors that affect the strength of electric and magnetic forces.	6	8	S2454480
473	3d	"Ask questions that can be investigated within the scope of the classroom, outdoor environment, and museums and other public facilities with available resources and, when appropriate, frame a hypothesis based on observations and scientific principles."	6	8	S2471244
474	3d	"Electric and magnetic (electromagnetic) forces can be attractive or repulsive, and their sizes depend on the magnitudes of the charges, currents, or magnetic strengths involved and on the distances between the interacting objects."	6	8	S2471258
476	child	Construct and present arguments using evidence to support the claim that gravitational interactions are attractive and depend on the masses of interacting objects.	6	8	S2454481
477	3d	Construct and present oral and written arguments supported by empirical evidence and scientific reasoning to support or refute an explanation or a model for a phenomenon or a solution to a problem.	6	8	S2471251
479	3d	"Gravitational forces are always attractive. There is a gravitational force between any two masses, but it is very small except when one or both of the objects have large mass -e.g., Earth and the sun."	6	8	S2471259
481	child	Conduct an investigation and evaluate the experimental design to provide evidence that fields exist between objects exerting forces on each other even though the objects are not in contact.	6	8	S2454482
482	3d	Conduct an investigation and evaluate the experimental design to produce data to serve as the basis for evidence that can meet the goals of the investigation.	6	8	S2471247
483	3d	"Forces that act at a distance (electric, magnetic, and gravitational) can be explained by fields that extend through space and can be mapped by their effect on a test object (a charged object, or a ball, respectively)."	6	8	S2471260
485	parent	Energy	6	8	S2467872
486	child	Construct and interpret graphical displays of data to describe the relationships of kinetic energy to the mass of an object and to the speed of an object.	6	8	S2454483
487	3d	Construct and interpret graphical displays of data to identify linear and nonlinear relationships.	6	8	S2471283
488	3d	Motion energy is properly called kinetic energy; it is proportional to the mass of the moving object and grows with the square of its speed.	6	8	S2471294
490	child	"Develop a model to describe that when the arrangement of objects interacting at a distance changes, different amounts of potential energy are stored in the system."	6	8	S2454484
492	3d	"A system of objects may also contain stored (potential) energy, depending on their relative positions."	6	8	S2471295
493	3d	"When two objects interact, each one exerts a force on the other that can cause energy to be transferred to or from the object."	6	8	S2471300
494	3d	"Models can be used to represent systems and their interactions - such as inputs, processes and outputs - and energy and matter flows within systems."	6	8	S2471266
495	child	"Apply scientific principles to design, construct, and test a device that either minimizes or maximizes thermal energy transfer."	6	8	S2454485
496	3d	"Apply scientific ideas or principles to design, construct, and test a design of an object, tool, process or system."	6	8	S2471285
498	3d	Energy is spontaneously transferred out of hotter regions or objects and into colder ones.	6	8	S2471299
500	3d	"A solution needs to be tested, and then modified on the basis of the test results in order to improve it. There are systematic processes for evaluating solutions with respect to how well they meet criteria and constraints of a problem."	6	8	S2471302
501	3d	The transfer of energy can be tracked as energy flows through a designed or natural system.	6	8	S2471231
502	child	"Plan an investigation to determine the relationships among the energy transferred, the type of matter, the mass, and the change in the average kinetic energy of the particles as measured by the temperature of the sample."	6	8	S2454486
503	3d	"Plan an investigation individually and collaboratively, and in the design: identify independent and dependent variables and controls, what tools are needed to do the gathering, how measurements will be recorded, and how many data are needed to support a claim."	6	8	S2471246
505	3d	"Temperature is a measure of the average kinetic energy of particles of matter. The relationship between the temperature and the total energy of a system depends on the types, states, and amounts of matter present."	6	8	S2471296
506	3d	"The amount of energy transfer needed to change the temperature of a matter sample by a given amount depends on the nature of the matter, the size of the sample, and the environment."	6	8	S2471298
507	3d	Proportional relationships (e.g. speed as the ratio of distance traveled to time taken) among different types of quantities provide information about the magnitude of properties and processes.	6	8	S2471306
508	child	"Construct, use, and present arguments to support the claim that when the motion energy of an object changes, energy is transferred to or from the object."	6	8	S2454487
509	3d	"Construct, use, and present oral and written arguments supported by empirical evidence and scientific reasoning to support or refute an explanation or a model for a phenomenon."	6	8	S2471287
511	3d	"When the motion energy of an object changes, there is inevitably some other change in energy at the same time."	6	8	S2471297
512	3d	"Energy may take different forms (e.g. energy in fields, thermal energy, energy of motion)."	6	8	S2471308
513	parent	Waves and Their Applications in Technologies for Information Transfer	6	8	S2467874
514	child	Use mathematical representations to describe a simple model for waves that includes how the amplitude of a wave is related to the energy in a wave.	6	8	S2454489
515	3d	Use mathematical representations to describe and/or support scientific conclusions and design solutions.	6	8	S2471320
517	3d	"A simple wave has a repeating pattern with a specific wavelength, frequency, and amplitude."	6	8	S2471327
518	3d	Graphs and charts can be used to identify patterns in data.	6	8	S2471338
519	child	"Develop and use a model to describe that waves are reflected, absorbed, or transmitted through various materials."	6	8	S2454490
521	3d	A sound wave needs a medium through which it is transmitted.	6	8	S2471328
522	3d	"When light shines on an object, it is reflected, absorbed, or transmitted through the object, depending on the object's material and the frequency (color) of the light."	6	8	S2471329
523	3d	"The path that light travels can be traced as straight lines, except at surfaces between different transparent materials (e.g., air and water, air and glass) where the light path bends."	6	8	S2471330
524	3d	"A wave model of light is useful for explaining brightness, color, and the frequency-dependent bending of light at a surface between media."	6	8	S2471331
525	3d	"However, because light can travel through space, it cannot be a matter wave, like sound or water waves."	6	8	S2471332
526	3d	"Structures can be designed to serve particular functions by taking into account properties of different materials, and how materials can be shaped and used."	6	8	S2471232
527	child	Integrate qualitative scientific and technical information to support the claim that digitized signals (sent as wave pulses) are a more reliable way to encode and transmit information.	6	8	S2454491
528	3d	Integrate qualitative scientific and technical information in written text with that contained in media and visual displays to clarify claims and findings.	6	8	S2471322
529	3d	Digitized signals (sent as wave pulses) are a more reliable way to encode and transmit information.	6	8	S2471333
530	3d	Structures can be designed to serve particular functions.	6	8	S2471340
531	3d	"Technologies extend the measurement, exploration, modeling, and computational capacity of scientific investigations."	6	8	S2471341
532	3d	Advances in technology influence the progress of science and science has influenced advances in technology.	6	8	S2471342
533	parent	From Molecules to Organisms: Structures and Processes	6	8	S2467875
534	child	"Conduct an investigation to provide evidence that living things are made of cells, either one cell or many different numbers and types of cells."	6	8	S2454492
535	3d	Conduct an investigation to produce data to serve as the basis for evidence that meet the goals of an investigation.	6	8	S2471356
536	3d	"All living things are made up of cells, which is the smallest unit that can be said to be alive. An organism may consist of one single cell (unicellular) or many different numbers and types of cells (multicellular)."	6	8	S2471370
537	3d	Phenomena that can be observed at one scale may not be observable at another scale.	6	8	S2471388
539	child	Develop and use a model to describe the function of a cell as a whole and ways parts of cells contribute to the function.	6	8	S2454493
541	3d	"Within cells, special structures are responsible for particular functions, and the cell membrane forms the boundary that controls what enters and leaves the cell."	6	8	S2471371
542	3d	"Complex and microscopic structures and systems can be visualized, modeled, and used to describe how their function depends on the relationships among its parts, therefore complex natural structures/systems can be analyzed to determine how they function."	6	8	S2471392
543	child	Use argument supported by evidence for how the body is a system of interacting subsystems composed of groups of cells.	6	8	S2454494
544	3d	Use an oral and written argument supported by evidence to support or refute an explanation or a model for a phenomenon.	6	8	S2471360
545	3d	"In multicellular organisms, the body is a system of multiple interacting subsystems. These subsystems are groups of cells that work together to form tissues and organs that are specialized for particular body functions."	6	8	S2471372
546	3d	Systems may interact with other systems; they may have sub-systems and be a part of larger complex systems.	6	8	S2471389
547	3d	"Scientists and engineers are guided by habits of mind such as intellectual honesty, tolerance of ambiguity, skepticism, and openness to new ideas."	6	8	S2471396
548	child	Use argument based on empirical evidence and scientific reasoning to support an explanation for how characteristic animal behaviors and specialized plant structures affect the probability of successful reproduction of animals and plants respectively.	6	8	S2454503
549	3d	Use an oral and written argument supported by empirical evidence and scientific reasoning to support or refute an explanation or a model for a phenomenon or a solution to a problem.	6	8	S2471361
550	3d	Animals engage in characteristic behaviors that increase the odds of reproduction.	6	8	S2471373
551	3d	"Plants reproduce in a variety of ways, sometimes depending on animal behavior and specialized features for reproduction."	6	8	S2471374
553	child	Construct a scientific explanation based on evidence for how environmental and genetic factors influence the growth of organisms.	6	8	S2454505
555	3d	Genetic factors as well as local conditions affect the growth of the adult plant.	6	8	S2471375
557	child	Construct a scientific explanation based on evidence for the role of photosynthesis in the cycling of matter and flow of energy into and out of organisms.	6	8	S2454496
559	3d	Science knowledge is based upon logical connections between evidence and explanations.	6	8	S2471364
560	3d	"Plants, algae (including phytoplankton), and many microorganisms use the energy from light to make sugars (food) from carbon dioxide from the atmosphere and water through the process of photosynthesis, which also releases oxygen. These sugars can be used immediately or stored for growth or later use."	6	8	S2471376
561	3d	"The chemical reaction by which plants produce complex food molecules (sugars) requires an energy input (i.e., from sunlight) to occur. In this reaction, carbon dioxide and water combine to form carbon-based organic molecules and release oxygen."	6	8	S2471379
562	3d	"Within a natural system, the transfer of energy drives the motion and/or cycling of matter."	6	8	S2471391
563	child	Develop a model to describe how food is rearranged through chemical reactions forming new molecules that support growth and/or release energy as this matter moves through an organism.	6	8	S2454497
565	3d	"Within individual organisms, food moves through a series of chemical reactions in which it is broken down and rearranged to form new molecules, to support growth, or to release energy."	6	8	S2471377
566	3d	"Cellular respiration in plants and animals involve chemical reactions with oxygen that release stored energy. In these processes, complex molecules containing carbon react with oxygen to produce carbon dioxide and other materials."	6	8	S2471380
567	3d	Matter is conserved because atoms are conserved in physical and chemical processes.	6	8	S2471230
568	child	Gather and synthesize information that sensory receptors respond to stimuli by sending messages to the brain for immediate behavior or storage as memories.	6	8	S2454495
570	3d	"Each sense receptor responds to different inputs (electromagnetic, mechanical, chemical), transmitting them as signals that travel along nerve cells to the brain. The signals are then processed in the brain, resulting in immediate behaviors or memories."	6	8	S2471378
572	parent	"Ecosystems: Interactions, Energy, and Dynamics"	6	8	S2467877
573	child	Analyze and interpret data to provide evidence for the effects of resource availability on organisms and populations of organisms in an ecosystem.	6	8	S2454498
575	3d	"Organisms, and populations of organisms, are dependent on their environmental interactions both with other living things and with nonliving factors."	6	8	S2471407
576	3d	"In any ecosystem, organisms and populations with similar requirements for food, water, oxygen, or other resources may compete with each other for limited resources, access to which consequently constrains their growth and reproduction."	6	8	S2471421
577	3d	Growth of organisms and population increases are limited by access to resources.	6	8	S2471422
579	child	Construct an explanation that predicts patterns of interactions among organisms across multiple ecosystems.	6	8	S2454501
580	3d	Construct an explanation that includes qualitative or quantitative relationships between variables that predict phenomena.	6	8	S2471414
581	3d	"Similarly, predatory interactions may reduce the number of organisms or eliminate whole populations of organisms. Mutually beneficial interactions, in contrast, may become so interdependent that each organism requires the other for survival. Although the species involved in these competitive, predatory, and mutually beneficial interactions vary across ecosystems, the patterns of interactions of organisms with their environments, both living and nonliving, are shared."	6	8	S2471423
583	child	Develop a model to describe the cycling of matter and flow of energy among living and nonliving parts of an ecosystem.	6	8	S2454499
584	3d	Develop a model to describe phenomena.	6	8	S2471403
585	3d	"Food webs are models that demonstrate how matter and energy is transferred between producers, consumers, and decomposers as the three groups interact within an ecosystem. Transfers of matter into and out of the physical environment occur at every level. Decomposers recycle nutrients from dead plant or animal matter back to the soil in terrestrial environments or to the water in aquatic environments. The atoms that make up the organisms in an ecosystem are cycled repeatedly between the living and nonliving parts of the ecosystem."	6	8	S2471408
586	3d	The transfer of energy can be tracked as energy flows through a natural system.	6	8	S2471438
588	child	Construct an argument supported by empirical evidence that changes to physical or biological components of an ecosystem affect populations.	6	8	S2454500
590	3d	Science disciplines share common rules of obtaining and evaluating empirical evidence.	6	8	S2471420
591	3d	Ecosystems are dynamic in nature; their characteristics can vary over time. Disruptions to any physical or biological component of an ecosystem can lead to shifts in all its populations.	6	8	S2471425
593	child	Evaluate competing design solutions for maintaining biodiversity and ecosystem services.	6	8	S2454502
595	3d	Biodiversity describes the variety of species found in Earth's terrestrial and oceanic ecosystems. The completeness or integrity of an ecosystem's biodiversity is often used as a measure of its health.	6	8	S2471426
596	3d	"Changes in biodiversity can influence humans' resources, such as food, energy, and medicines, as well as ecosystem services that humans rely on - for example, water purification and recycling."	6	8	S2471428
597	3d	There are systematic processes for evaluating solutions with respect to how well they meet the criteria and constraints of a problem.	6	8	S2471430
598	3d	Small changes in one part of a system might cause large changes in another part.	6	8	S2471439
601	parent	Heredity: Inheritance and Variation of Traits	6	8	S2467879
602	child	"Develop and use a model to describe why structural changes to genes (mutations) located on chromosomes may affect proteins and may result in harmful, beneficial, or neutral effects to the structure and function of the organism."	6	8	S2454506
604	3d	"Genes are located in the chromosomes of cells, with each chromosome pair containing two variants of each of many distinct genes. Each distinct gene chiefly controls the production of specific proteins, which in turn affects the traits of the individual. Changes (mutations) to genes can result in changes to proteins, which can affect the structures and functions of the organism and thereby change traits."	6	8	S2471453
605	3d	"In addition to variations that arise from sexual reproduction, genetic information can be altered because of mutations. Though rare, mutations may result in changes to the structure and function of proteins. Some changes are beneficial, others harmful, and some neutral to the organism."	6	8	S2471456
606	3d	"Complex and microscopic structures and systems can be visualized, modeled, and used to describe how their function depends on the shapes, composition, and relationships among its parts, therefore complex natural structures/systems can be analyzed to determine how they function."	6	8	S2471460
607	child	Develop and use a model to describe why asexual reproduction results in offspring with identical genetic information and sexual reproduction results in offspring with genetic variation.	6	8	S2454507
609	3d	"Organisms reproduce, either sexually or asexually, and transfer their genetic information to their offspring."	6	8	S2471452
610	3d	Variations of inherited traits between parent and offspring arise from genetic differences that result from the subset of chromosomes (and therefore genes) inherited.	6	8	S2471454
611	3d	"In sexually reproducing organisms, each parent contributes half of the genes acquired (at random) by the offspring. Individuals have two of each chromosome and hence two alleles of each gene, one acquired from each parent. These versions may be identical or may differ from each other."	6	8	S2471455
612	3d	Cause and effect relationships may be used to predict phenomena in natural systems.	6	8	S2471386
613	parent	Biological Evolution: Unity and Diversity	6	8	S2467880
614	child	"Analyze and interpret data for patterns in the fossil record that document the existence, diversity, extinction, and change of life forms throughout the history of life on Earth under the assumption that natural laws operate today as in the past."	6	8	S2454510
616	3d	Science knowledge is based upon logical and conceptual connections between evidence and explanations.	6	8	S2471198
617	3d	"The collection of fossils and their placement in chronological order (e.g., through the location of the sedimentary layers in which they are found or through radioactive dating) is known as the fossil record. It documents the existence, diversity, extinction, and change of many life forms throughout the history of life on Earth."	6	8	S2471483
620	child	Apply scientific ideas to construct an explanation for the anatomical similarities and differences among modern organisms and between modern and fossil organisms to infer evolutionary relationships.	6	8	S2454511
621	3d	"Apply scientific ideas to construct an explanation for real-world phenomena, examples, or events."	6	8	S2471475
622	3d	"Anatomical similarities and differences between various organisms living today and between them and organisms in the fossil record, enable the reconstruction of evolutionary history and the inference of lines of evolutionary descent."	6	8	S2471484
625	child	Analyze displays of pictorial data to compare patterns of similarities in the embryological development across multiple species to identify relationships not evident in the fully formed anatomy.	6	8	S2454512
626	3d	Analyze displays of data to identify linear and nonlinear relationships.	6	8	S2471470
627	3d	Comparison of the embryological development of different species also reveals similarities that show relationships not evident in the fully-formed anatomy.	6	8	S2471485
629	child	Construct an explanation based on evidence that describes how genetic variations of traits in a population increase some individuals' probability of surviving and reproducing in a specific environment.	6	8	S2454513
630	3d	Construct an explanation that includes qualitative or quantitative relationships between variables that describe phenomena.	6	8	S2471476
631	3d	"Natural selection leads to the predominance of certain traits in a population, and the suppression of others."	6	8	S2471486
633	child	Gather and synthesize information about the technologies that have changed the way humans influence the inheritance of desired traits in organisms.	6	8	S2454508
634	3d	"Gather, read, and synthesize information from multiple appropriate sources and assess the credibility, accuracy, and possible bias of each publication and methods used, and describe how they are supported or not supported by evidence."	6	8	S2471197
635	3d	"In artificial selection, humans have the capacity to influence certain characteristics of organisms by selective breeding. One can choose desired parental traits determined by genes, which are then passed on to offspring."	6	8	S2471487
639	child	Use mathematical representations to support explanations of how natural selection may lead to increases and decreases of specific traits in populations over time.	6	8	S2454514
640	3d	Use mathematical representations to support scientific conclusions and design solutions.	6	8	S2471473
641	3d	"Adaptation by natural selection acting over generations is one important process by which species change over time in response to changes in environmental conditions. Traits that support successful survival and reproduction in the new environment become more common; those that do not become less common. Thus, the distribution of traits in a population changes."	6	8	S2471488
642	3d	"Phenomena may have more than one cause, and some cause and effect relationships in systems can only be described using probability."	6	8	S2471387
643	parent	Earth's Place in the Universe	6	8	S2467881
644	child	"Develop and use a model of the Earth-sun-moon system to describe the cyclic patterns of lunar phases, eclipses of the sun and moon, and seasons."	6	8	S2454516
646	3d	"Patterns of the apparent motion of the sun, the moon, and stars in the sky can be observed, described, predicted, and explained with models."	6	8	S2471515
647	3d	This model of the solar system can explain eclipses of the sun and the moon. Earth's spin axis is fixed in direction over the short-term but tilted relative to its orbit around the sun. The seasons are a result of that tilt and are caused by the differential intensity of sunlight on different areas of Earth across the year.	6	8	S2471518
648	3d	Patterns can be used to identify cause and effect relationships.	6	8	S2471410
650	child	Develop and use a model to describe the role of gravity in the motions within galaxies and the solar system.	6	8	S2454517
652	3d	"Earth and its solar system are part of the Milky Way galaxy, which is one of many galaxies in the universe."	6	8	S2471516
654	3d	"The solar system appears to have formed from a disk of dust and gas, drawn together by gravity."	6	8	S2471519
655	3d	Models can be used to represent systems and their interactions.	6	8	S2471528
656	3d	Science assumes that objects and events in natural systems occur in consistent patterns that are understandable through measurement and observation.	6	8	S2471498
657	child	Analyze and interpret data to determine scale properties of objects in the solar system.	6	8	S2454518
659	3d	"The solar system consists of the sun and a collection of objects, including planets, their moons, and asteroids that are held in orbit around the sun by its gravitational pull on them."	6	8	S2471517
661	3d	"Engineering advances have led to important discoveries in virtually every field of science, and scientific discoveries have led to the development of entire industries and engineered systems."	6	8	S2471233
662	child	Construct a scientific explanation based on evidence from rock strata for how the geologic time scale is used to organize Earth's 4.6-billion-year-old history.	6	8	S2454520
664	3d	"The geologic time scale interpreted from rock strata provides a way to organize Earth's history. Analyses of rock strata and the fossil record provide only relative dates, not an absolute scale."	6	8	S2471520
666	parent	Earth's Systems	6	8	S2467882
667	child	Develop a model to describe the cycling of Earth's materials and the flow of energy that drives this process.	6	8	S2454523
669	3d	All Earth processes are the result of energy flowing and matter cycling within and among the planet's systems. This energy is derived from the sun and Earth's hot interior. The energy that flows and matter that cycles produce chemical and physical changes in Earth's materials and living organisms.	6	8	S2471555
670	3d	"Explanations of stability and change in natural or designed systems can be constructed by examining the changes over time and processes at different scales, including the atomic scale."	6	8	S2471577
671	child	Construct an explanation based on evidence for how geoscience processes have changed Earth's surface at varying time and spatial scales.	6	8	S2454521
673	3d	"The planet's systems interact over scales that range from microscopic to global in size, and they operate over fractions of a second to billions of years. These interactions have shaped Earth's history and will determine its future."	6	8	S2471556
674	3d	"Water's movements - both on the land and underground - cause weathering and erosion, which change the land's surface features and create underground formations."	6	8	S2471562
675	3d	"Time, space, and energy phenomena can be observed at various scales using models to study systems that are too large or too small."	6	8	S2471229
676	child	"Analyze and interpret data on the distribution of fossils and rocks, continental shapes, and seafloor structures to provide evidence of the past plate motions."	6	8	S2454522
677	3d	Analyze and interpret data to provide evidence for phenomena.	6	8	S2471411
678	3d	Science findings are frequently revised and/or reinterpreted based on new evidence.	6	8	S2471548
679	3d	Tectonic processes continually generate new ocean sea floor at ridges and destroy old sea floor at trenches.	6	8	S2471554
680	3d	"Maps of ancient land and water patterns, based on investigations of rocks and fossils, make clear how Earth's plates have moved great distances, collided, and spread apart."	6	8	S2471557
681	3d	Patterns in rates of change and other numerical relationships can provide information about natural systems.	6	8	S2471572
682	child	Develop a model to describe the cycling of water through Earth's systems driven by energy from the sun and the force of gravity.	6	8	S2454524
683	3d	Develop a model to describe unobservable mechanisms.	6	8	S2471191
684	3d	"Water continually cycles among land, ocean, and atmosphere via transpiration, evaporation, condensation and crystallization, and precipitation, as well as downhill flows on land."	6	8	S2471558
685	3d	Global movements of water and its changes in form are propelled by sunlight and gravity.	6	8	S2471560
686	3d	"Within a natural or designed system, the transfer of energy drives the motion and/or cycling of matter."	6	8	S2471576
687	child	Collect data to provide evidence for how the motions and complex interactions of air masses results in changes in weather conditions.	6	8	S2454526
688	3d	Collect data to produce data to serve as the basis for evidence to answer scientific questions or test design solutions under a range of conditions.	6	8	S2471543
689	3d	"The complex patterns of the changes and the movement of water in the atmosphere, determined by winds, landforms, and ocean temperatures and currents, are major determinants of local weather patterns."	6	8	S2471559
690	3d	"Because these patterns are so complex, weather can only be predicted probabilistically."	6	8	S2471564
692	child	Develop and use a model to describe how unequal heating and rotation of the Earth cause patterns of atmospheric and oceanic circulation that determine regional climates.	6	8	S2454527
693	3d	Develop and use a model to describe phenomena.	6	8	S2471318
694	3d	Variations in density due to variations in temperature and salinity drive a global pattern of interconnected ocean currents.	6	8	S2471561
695	3d	"Weather and climate are influenced by interactions involving sunlight, the ocean, the atmosphere, ice, landforms, and living things. These interactions vary with latitude, altitude, and local and regional geography, all of which can affect oceanic and atmospheric flow patterns."	6	8	S2471563
696	3d	"The ocean exerts a major influence on weather and climate by absorbing energy from the sun, releasing it over time, and globally redistributing it through ocean currents."	6	8	S2471565
697	3d	"Models can be used to represent systems and their interactions - such as inputs, processes and outputs - and energy, matter, and information flows within systems."	6	8	S2471575
698	parent	Earth and Human Activity	6	8	S2467884
